id,score,kill,reason,idea
1079,3,True,Requires order book imbalance (external data),"Trade breakouts when price crosses a volatility-adjusted VWAP anchored to the session's opening range, confirmed by a surge in order book imbalance and volume exceeding 1.5x the 15-minute median."
1080,9,False,"ATR percentiles, SMA, trailing stop - works","A volatility-based strategy that enters long positions when the 20-day ATR drops below its 10th percentile and price crosses above the 200-day SMA, with exits triggered by a 2x ATR stop-loss or a 5% trailing stop."
1081,2,True,References VIX (equity volatility index),"A volatility-based strategy that enters long positions when the 5-minute ATR crosses above its 20-period moving average and the VIX is below its 10-day low, with exits triggered by a 2x ATR trailing stop."
1082,2,True,Requires order book delta imbalances,"Counter-trend strategy entering after detecting clustered liquidation zones via order book delta imbalances, confirmed by a 4-hour RSI reversal below 20 or above 80, with exits on retracement to volume-weighted pivot points."
1083,2,True,Requires perpetual futures funding rates,"Short volatility during high perpetual futures funding rates when price breaks below the 50-period SMA and Bollinger Band width expands, targeting support levels from liquidation cascades."
1084,2,True,Requires liquidation level identification,"Trade breakouts when price approaches historical liquidation levels (identified via clustered high-volume liquidation candles) coinciding with a volatility surge (1-hour ATR exceeding 20-day average), exiting via 2x ATR trailing stop."
1085,2,True,Requires liquidation heatmaps and on-chain flows,Leverage clustered liquidation zones identified via cumulative liquidation heatmaps to trigger counter-trend entries when price revisits these levels with diverging on-chain exchange flows.
1086,10,False,Bollinger Bands and RSI - perfect fit,A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks above/below the bands with a confirmation from a 5-period RSI crossing 70/30.
1087,9,False,"ATR percentiles, SMA, trailing stop - works","A volatility-based strategy that enters long positions when the 20-day ATR drops below its 10th percentile and price crosses above the 200-day SMA, with exits triggered by a 2x ATR trailing stop."
1088,2,True,Requires open interest and funding rates,"Trade long positions after detecting liquidation cascades via sudden open interest drops and extreme negative funding rates, exiting when price retraces to Bollinger Band midline."
1089,9,False,Choppiness Index and volume - OHLCV only,"Trade breakouts when the Choppiness Index exits consolidation (CI < 38.2) accompanied by a surge in volume (150% of 20-day avg), with stops at the breakout candle's low/high."
1090,9,False,"Bollinger Bands, historical volatility, clear rules","A volatility squeeze breakout strategy that triggers long/short entries when Bollinger Bands contract below a 20-period historical volatility threshold, with exits based on a trailing percentage of the breakout candle's range."
1091,9,False,"Bollinger Bandwidth, ADX - good momentum combo","Volatility squeeze reversal strategy combining Bollinger Bandwidth percentile (20-period) and ADX cross above 35, entering when bands expand from their narrowest 5% range with confirmed momentum shift."
1092,10,False,"Bollinger, volume, Keltner - excellent fit","Trade breakouts when Bollinger Band width contracts to a 10-day low paired with a 50% surge in volume relative to its 20-day average, exiting on a close beyond the Keltner Channel bands."
1093,10,False,Bollinger Bands and RSI filter - ideal,"A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks above/below the bands, filtered by a 10-period RSI confirming overbought/oversold conditions."
1094,10,False,"Bollinger Bands, RSI, ATR - perfect OHLCV","A volatility squeeze strategy that enters when Bollinger Bands contract to their narrowest width in 30 days and RSI crosses above 50, with exits triggered by a 2x ATR move from the entry price."
1095,10,False,"Pure OHLCV indicators, clear rules, perfect for crypto 15m","Trade breakouts when price exits a Bollinger Band squeeze (20-day, 2σ) coinciding with a 50% surge in volume relative to 10-day average, targeting 1.5x ATR."
1096,9,False,"Good OHLCV indicators, clear entry/exit, minor timeframe mismatch","A volatility-based strategy that enters long positions when the 5-minute ATR drops below its 20-period moving average and price breaks above the Bollinger Band squeeze threshold, with exits triggered by a 2x ATR stop-loss or a reversal below the middle Bollinger Band."
1097,8,False,"Good indicator combo, but exit condition slightly vague","Combine Bollinger Band width contraction with ADX trend strength to trigger entries when volatility compression coincides with weakening trend momentum, exiting on Bollinger breakout confirmation."
1098,8,False,"Uses only OHLCV indicators, clear entry/exit logic","Trade volatility contractions by entering when Bollinger Band width reaches a 20-day low and RSI diverges negatively, exiting on a 5-period ATR spike above the 50-day average."
1099,7,False,"Decent momentum concept, trailing stop logic needs clarification","A momentum strategy using a dual confirmation of Heiken-Ashi candlestick trends and Fisher Transform crossovers, with trailing stops adjusted by Chande's Volatility Index."
1100,8,False,"Good OHLCV indicator combination, clear entry/exit rules","Combine the Vortex Indicator (VI) crossover with on-balance volume (OBV) divergence, entering trades when VI+ crosses above VI- alongside rising OBV during low volatility periods (Bollinger Band squeeze), exiting at opposing crossover or trailing stop."
1101,9,False,"Pure OHLCV indicators, clear rules, good for crypto","Trade volatility compression breakouts using a dual confirmation of narrowing Bollinger Bands width crossing below historical percentile and surging volume exceeding 20-day average, targeting 1.5x ATR exits."
1102,8,False,"Good OHLCV indicators, clear entry/exit conditions","Enter long when the Fisher Transform crosses above zero with confirming Chaikin Money Flow >0.1 and 30-day narrowest Bollinger Band Width, exit on Fisher reversal below zero."
1103,2,True,Requires funding rates data not in OHLCV,"Trade breakouts when Bollinger Band width contracts below a historical percentile during high perpetual futures funding rates, targeting liquidation cascades with stops based on volatility expansion."
1104,7,False,"Uses OHLCV indicators, but Fibonacci levels need recent swing definition","Trade breakouts when price exits a combined Bollinger-Keltner Channel band with volume confirmation, using Fibonacci retracement levels from recent swing points as profit targets."
1105,2,True,Requires exchange netflow data not in OHLCV,"Combine ADX trend strength with exchange netflow divergence to trade breakouts during low liquidity periods, using a Chande Volatility Trailing Stop for dynamic exits."
1106,8,False,"Good OHLCV indicator combination, clear entry/exit rules","A volatility contraction strategy using Bollinger Bands nested inside Keltner Channels, triggering entries on breakout confirmation via ADX surge above 30, with dynamic exits using trailing parabolic SAR."
1107,9,False,"Pure OHLCV indicators, clear rules, works on crypto","A volatility squeeze breakout strategy that triggers long/short entries when Bollinger Bands contract below a historical percentile and price breaks above/below the bands, with exits based on RSI overbought/oversold levels."
1108,8,False,"Good OHLCV indicator combo, clear entry/exit logic","Trade Bollinger Band-Keltner Channel squeeze breakouts with entries triggered when price exits the Bollinger Bands but remains inside Keltner Channels, exiting on re-entry into both bands with volume confirmation."
1109,2,True,Requires funding rates data not in OHLCV,"Trade breakouts when the 20-period Donchian Channel aligns with a surge in negative funding rates, targeting liquidity gaps above/below recent swing highs/lows."
1110,8,False,"Good OHLCV indicators, clear entry/exit conditions","Execute swing trades when the Chande Momentum Oscillator crosses above/below its 50-level while paired with a narrowing Bollinger Band width, exiting on opposite crossover or 3% trailing stop."
1111,8,False,"Uses only OHLCV indicators, clear entry/exit rules","Trade breakouts when price crosses the 20-period VWAP with a confirming surge in Elder's Force Index, exiting on a 2:1 risk-reward ratio or a reversal below the VWAP."
1112,1,True,Requires VIX data not in OHLCV,"Combine VIX spike above Bollinger Band with Vortex Indicator bullish crossover for long entries during panic sell-offs, exiting when VIX reverts below its 20-day moving average."
1113,2,True,Requires exchange inflow/outflow data not in OHLCV,"Combine Vortex Indicator trend confirmation with surge in exchange inflow/outflow volumes to trade impending reversals, using dynamic stop-loss based on Average True Range band breakouts."
1114,2,True,Requires funding rates data not in OHLCV,"Trade long volatility when the 4-hour Chaikin Volatility crosses above its 20-period SMA while funding rates flip negative, exiting at Bollinger Band extremes."
1115,8,False,"Good OHLCV indicator combination, clear entry/exit logic","Combine Vortex Indicator crossover with on-balance volume divergence, entering when both confirm trend direction and exiting on Bollinger Band touch, filtered by average true range to avoid low volatility periods."
1116,9,False,"Pure OHLCV indicators, clear rules, good for crypto","Enter long when Bollinger Bandwidth reaches a 20-day low and OBV crosses above its 50-period SMA, with exits triggered by a 2x Keltner Channel breakout from the entry price."
1117,7,False,"Uses OHLCV indicators, but Fibonacci targets need definition","Trade breakouts when the Vortex Indicator's bullish/bearish crossover coincides with a 50% surge in volume, using Fibonacci retracement levels as dynamic profit targets."
1118,10,False,"Pure OHLCV indicators, clear rules, perfect for crypto 15m","Trade breakouts when the 50-period EMA crosses above the 200-period EMA during high volume spikes, with exits based on a 2x ATR trailing stop."
1119,8,False,"Good OHLCV indicators, clear entry/exit, time-based exit minor issue","Trade long volatility breakouts when Bollinger Bandwidth contracts below its 10th percentile while Klinger Volume Oscillator confirms accumulation, exiting at opposing Bollinger Band or after 3 days."
1120,9,False,"Pure OHLCV indicators, clear rules, good for crypto 15m","Combine the Vortex Indicator's trend confirmation with ADX strength above 25, entering trades only when volume surges past its 20-day average, and exit when ADX crosses below 20."
1121,8,False,"Uses ATR and MA, clear entry/exit, good fit","A volatility-based strategy that enters long positions when the 20-day ATR drops below its 10th percentile and price crosses above the 200-day moving average, with exits triggered by a 2x ATR stop-loss or a 5-day holding period."
1122,9,False,"Bollinger Bands and price action, clear logic","A volatility squeeze breakout strategy that triggers long/short entries when Bollinger Bands contract below a 10-day threshold and price closes outside the bands, with exits based on a trailing percentage of the breakout candle's range."
1123,1,True,"Requires VIX data, incompatible","A volatility-based strategy that enters long positions when the 20-day ATR drops below its 10th percentile and the VIX is in backwardation, with exits triggered by a 2x ATR move from the entry price."
1124,1,True,Requires on-chain liquidation data,"Combine Bollinger Bandwidth contraction with on-chain liquidation cluster levels to trigger mean-reversion trades, exiting when price reaches the opposite liquidity pool concentration zone."
1125,8,False,"TTM Squeeze and ATR, uses OHLCV only","Enter long when the TTM Squeeze indicator releases from contraction with confirming volume surge above 90th percentile, exiting on opposing Squeeze signal or 2x ATR trailing stop."
1126,9,False,"Pure technical indicators, clear entry/exit rules","Trade breakouts when the Chande Momentum Oscillator crosses its signal line during a narrowing Bollinger Band width, exiting on opposite crossover or bandwidth expansion."
1127,8,False,"Vortex, Keltner, volume - all OHLCV compatible","Trade breakouts when the Vortex Indicator confirms trend direction alongside Keltner Channel volatility expansion, with exits triggered by opposing Vortex crossover and volume drying up."
1128,9,False,"Bollinger, ADX, ATR - perfect for crypto 15m","Trade volatility contractions signaled by a Bollinger Band width narrowing below a historical percentile, combined with an ADX surge above 25, entering on breakout confirmation and exiting when ADX flattens, using ATR trailing stops."
1129,1,True,Requires order book data,"Detect liquidity clusters near price via order book delta clustering, enter mean-reversion trades when volatility contracts below Bollinger Bandwidth threshold and price touches cluster boundaries, exiting at opposing liquidity zones."
1130,8,False,"Bollinger, volume oscillator, ATR - good fit","Trade volatility contractions by entering when Bollinger Band width hits a 6-month low and Klinger Volume Oscillator crosses above its 20-period SMA, with exits triggered by 2x ATR moves from entry price."
1131,7,False,OHLCV indicators but Chaikin requires accumulation data,"A momentum strategy combining the Fisher Transform crossover with volume-weighted MACD histogram convergence, entering only when the Chaikin Money Flow confirms institutional accumulation."
1132,1,True,Requires open interest data,"Trade breakouts at key liquidation levels identified by clustered stop-loss orders, confirmed by a spike in volume and diverging open interest, with exits on declining volatility via ATR."
1133,1,True,Requires futures OI clusters,"Trade counter-trend reversals when price breaches a high-liquidation zone (derived from aggregated futures OI clusters) while 1h RSI diverges, with exits triggered by volume-weighted volatility contraction."
1134,9,False,"Bollinger, volume, trailing stop - excellent fit","Trade breakouts when Bollinger Bands contract below historical volatility percentile thresholds and volume surges, using a trailing stop anchored to the prior consolidation range."
1135,10,False,"Pure price/volume indicators, clear rules, perfect fit","A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks above/below the bands, combined with a confirmation from a 14-period RSI crossing above 70 or below 30."
1136,9,False,"SuperTrend, Stochastic RSI, volume - all OHLCV","Enter long when the SuperTrend indicator flips bullish while the Stochastic RSI exits oversold with rising volume, and exit on SuperTrend reversal."
1137,1,True,Requires order book and funding rate data,"Short volatility during high liquidation clustering events detected via order book imbalance and funding rate extremes, entering when Bollinger Band width contracts post-spike and exiting at volume-weighted average price reversion."
1138,9,False,"Bollinger, Volume ROC, ATR - excellent crypto fit","A volatility contraction strategy using Bollinger Band Width and Volume ROC, entering when both reach 10-day lows and exiting on a 2x ATR breakout with confirming volume surge."
1139,10,False,"Pure price/volume indicators, clear rules, perfect fit","A volatility squeeze breakout strategy that enters when Bollinger Bands contract to their narrowest point in 20 days and exits when price closes outside the bands, filtered by a spike in volume above the 50-day average."
1140,8,False,"ATR, VWAP, RSI, volume - all OHLCV compatible","A volatility breakout strategy that triggers long/short entries when price crosses a 2x ATR band from a 20-period VWAP, with exits based on RSI crossing 50 and confirmed by decreasing volume."
1141,8,False,"Vortex, CMO, volume, Keltner - good indicator combo","Combine Vortex Indicator crossover with Chande Momentum Oscillator divergence, entering trades only when confirmed by volume spikes above 20-day average and exiting using Keltner Channel breakouts."
1142,9,False,"Bollinger, RSI divergence - clear and compatible","A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 20 days and exits when price breaks above/below the bands, combined with a confirming RSI divergence signal."
1143,8,False,"EMA cross, ADX, risk-reward - works on crypto","Trade breakouts when the 50-period EMA crosses the 200-period EMA (Golden Cross/Death Cross) while the ADX rises above 25, signaling strong trend momentum, and exit on a 2:1 risk-reward ratio."
1144,9,False,"Bollinger, RSI, clear entry/exit - excellent fit","A volatility squeeze strategy that triggers long/short entries when Bollinger Bands contract to their narrowest 5% historical range, combined with a confirming RSI divergence, and exits when price touches the opposite band."
1145,4,True,Uses OHLCV but references liquidation clusters (external data),"Detect liquidation clusters using high-volume retracements from recent swing highs/lows paired with a volatility contraction (ATR below threshold), entering on breakout with volume confirmation."
1146,2,True,Requires order book and on-chain data,"Trade counter-trend reversals triggered by clustered liquidation levels detected via order book imbalance, confirmed with a surge in volatility (using Keltner Channel width) and diverging on-chain transaction volume."
1147,10,False,"Pure OHLCV indicators, clear entry/exit rules",A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks above/below the bands with a confirmation from a 5-period RSI crossing above 70 or below 30.
1148,10,False,"Uses only price/volume indicators, clear logic","A mean-reversion strategy using Elder Force Index crossing above its signal line while price is below the lower Bollinger Band, exiting at the middle band when Force Index reverses, filtered by ADX below 25 to confirm low trend strength."
1149,9,False,"Good indicator combo, clear entry/exit logic","Combine the Vortex Indicator's trend signal with a breakout from Choppiness Index consolidation zones and confirm with a volume surge above 90th percentile, exiting on a trailing volatility stop using ATR."
1150,10,False,"Pure OHLCV, clear entry/exit rules","A volatility squeeze breakout strategy that triggers long entries when Bollinger Bands contract below a 20-period historical average width and price closes above the upper band, with exits based on a trailing percentage of the ATR."
1151,2,True,Requires funding rates and open interest data,"Detect liquidation clusters by combining high negative funding rates with rapid open interest decline, entering long positions upon OI stabilization and exiting when funding reverts to neutral."
1152,10,False,"Pure OHLCV indicators, clear entry/exit",A volatility squeeze breakout strategy that triggers long/short entries when Bollinger Bands contract below a 20-day historical volatility threshold and exits when price crosses the opposite band.
1153,9,False,"Good indicator combo, clear entry/exit","Enter long positions when the Vortex Indicator's VI+ crosses above VI- alongside a 50% spike in volume relative to the 10-day average, exiting trades at the Keltner Channel upper band."
1154,10,False,"Pure OHLCV indicators, clear rules","Enter long when the Elder Force Index crosses above zero during periods of compressed volatility (Bollinger Band Width < 1-year percentile 20), exiting at opposing Bollinger Band touch or 48-hour timeout."
1155,2,True,Requires order book data,"Trade breakouts from Bollinger Band Width contraction zones coinciding with order book liquidity clusters, entering on volume surge confirmation and exiting at predefined liquidation levels."
1156,2,True,Requires funding rate data,"Trade volatility contractions during high funding rate extremes, entering on Bollinger Band breakouts with confirmation from perpetual futures funding rate divergences."
1157,10,False,"Pure OHLCV, clear entry/exit rules","Trade breakouts when the 50-period EMA crosses above the 200-period EMA during high-volume sessions, with exits triggered by a 2x ATR stop-loss or a 1.5x ATR trailing stop."
1158,10,False,"Pure OHLCV, clear entry/exit logic","Trade breakouts when price crosses a volatility-adjusted moving average while volume surges above its 90th percentile, using a trailing stop based on recent average true range."
1159,10,False,"Pure OHLCV indicators, clear rules","A volatility squeeze strategy that enters when Bollinger Bands width is at a 20-day low and exits when the price breaks above the upper band, with confirmation from a spike in volume exceeding the 50-day average."
1160,10,False,"Pure OHLCV, clear entry/exit conditions","Trade breakouts when Bollinger Band width contracts to a 20-day low paired with a 150% volume spike relative to 10-day average, exiting at opposite band touch or after 5 periods."
1161,2,True,Requires futures liquidation data,"Trade reversals when price approaches a liquidation cluster zone (derived from aggregated futures liquidations data) while 4-hour Heikin-Ashi candles show exhaustion patterns, with stop-loss set beyond the cluster's extreme."
1162,10,False,"Pure OHLCV indicators, clear logic","Trade volatility compression breakouts using a 10-period Bollinger Band width threshold crossing below 50% of its 20-day range, coupled with a 3x volume spike, exiting on Bollinger Band width expansion above 75%."
1163,10,False,"Pure OHLCV, clear entry/exit rules","A volatility squeeze breakout strategy that enters long when Bollinger Bands contract to their narrowest point in 20 days and price breaks above the upper band, with exits based on a trailing ATR stop."
1164,10,False,"Pure OHLCV indicators, clear entry","Trade volatility contraction breakouts using a confluence of Bollinger Band width percentile below 20% and Keltner Channel squeeze, confirmed by volume surge exceeding 50-day average."
1165,10,False,"Pure OHLCV, clear entry/exit conditions","Enter long/short positions when Bollinger Bandwidth reaches a 6-month low paired with a surge in volume exceeding 1.5x 30-day average, exiting upon bandwidth expansion beyond historical volatility thresholds."
1166,2,True,Requires order book data,"Trade breakouts from liquidation clusters identified via order book delta imbalances during volatility contraction, entering on confirmed price rejection from high-volume nodes with exits using dynamic trailing stops based on normalized average true range."
1167,10,False,"Pure OHLCV, clear entry/exit rules","A volatility breakout strategy that triggers long/short entries when price crosses a 2x ATR band from a 20-period EMA, with exits based on a 50% retracement of the initial breakout move."
1168,2,True,Requires liquidation data and VWAP,"Trade counter-trend positions when liquidation clusters exceed 2 STD of 30-day average, with exits triggered by ATR-based volatility expansion and opposing liquidations crossing VWAP."
1169,2,True,Requires futures liquidation data,"Enter trades when price crosses a liquidation cluster level derived from aggregated futures data, filtered by a volatility contraction signal from Bollinger Bandwidth hitting a 10-day low."
1170,9,False,"Pure OHLCV indicators, clear entry/exit rules","A volatility squeeze breakout strategy that enters long when Bollinger Bands contract to their narrowest point in 30 days and price closes above the upper band, with exits triggered by a 2x ATR move from the entry price."
1171,8,False,"Good indicator combo, minor timeframe adaptation needed","A volatility breakout strategy that triggers long positions when the 5-minute ATR exceeds the daily ATR by 150% and volume spikes above the 20-period average, with exits based on a trailing stop of 2x the entry ATR."
1172,8,False,"Uses only price/volume indicators, clear logic","Trade breakouts when the Choppiness Index falls below 35 and price closes above the 20-day Donchian Channel, with exits triggered by a 5% trailing ATR stop."
1173,7,False,Good indicators but vague entry/exit rules,"Trade breakouts when the Vortex Indicator crossover aligns with a narrowing Bollinger Band Width, confirming with a surge in Klinger Volume Oscillator to filter false moves."
1174,6,False,"VWAP clusters vague, percentile thresholds unclear","A volatility contraction strategy trading Bollinger Band squeezes coinciding with VWAP liquidity clusters, entering on confirmed expansion with volume confirmation and exiting at opposing volatility percentile thresholds."
1175,8,False,"Clear indicator combo, good for crypto","Trade breakouts when Bollinger Band width contracts below a historical percentile and volume surges above its 20-day average, targeting a volatility expansion exit using Keltner Channels."
1176,8,False,"Pure OHLCV, clear entry/exit conditions","Trade breakouts when Bollinger Band Width contracts to a 6-month low and price closes above Keltner Channel with 2x average volume, exiting at 1.5x the initial range."
1177,9,False,"Simple, clear rules using only price/volume","A volatility compression strategy that enters when Bollinger Bands width reaches a 20-day low and exits when price breaks above the upper band or below the lower band, with a stop-loss at 1.5x ATR."
1178,8,False,"Good indicator combo, clear exit rules","Trade long when the Supertrend indicator flips bullish during a Bollinger Band squeeze (bands within 2% of each other) with 150% surge in volume, exit on Supertrend reversal or 3x ATR trailing stop."
1179,2,True,Requires liquidation data not in OHLCV,"Trade breakouts from liquidity zones identified by clustered liquidation levels, entering when price exits a volatility contraction pattern (Bollinger Band Width < 1-year low) and targeting next visible liquidity pocket."
1180,8,False,"Pure OHLCV indicators, clear signal logic","Trade breakouts when the 20-period ATR crosses above its 100-period moving average while the Chaikin Money Flow exceeds 0.2, signaling high volatility and strong buying pressure."
1181,7,False,Good indicators but dynamic stop vague,"A volatility-squeeze strategy combining Bollinger Band width, Keltner Channel squeeze, and volume surge confirmation, entering on breakout closes with dynamic stop-loss based on Chandelier Exit."
1182,7,False,Good indicators but 3-sigma drop parameter vague,"Enter long positions after a 3-sigma price drop paired with a 200% volume spike and narrowing Bollinger Band width, exiting when VWAP crosses above the 20-period SMA or RSI exceeds 65."
1183,9,False,"Simple, clear rules using only OHLCV","Trade breakouts when price exits a Bollinger Band squeeze (20-day bandwidth <5%) with 150% volume surge, exiting on re-entry into bands."
1184,1,True,Requires order book and liquidation data,"Trade reversals when price approaches liquidation clusters identified by order book delta imbalances, confirmed by a divergence between short-term stochastic RSI and cumulative volume delta on lower timeframe."
1185,1,True,Requires order book and Fibonacci data,"Trade breakouts from liquidity voids detected via clustered Fibonacci retracement levels coinciding with order book imbalance, confirmed by divergences in cumulative delta volume."
1186,6,False,Decent but band contraction below 0 unclear,"Trade breakouts when price crosses a dynamic volume-weighted moving average while Bollinger Bands width expands beyond 1.5x its 20-period median, exiting on band contraction below 0."
1187,7,False,Good indicators but entry rules vague,"Combine Vortex Indicator trend confirmation with Choppiness Index reversals, entering long/short when both align outside Keltner Channels during expanding volume divergence."
1188,6,False,1-hour RSI divergence timeframe mismatch,"A volatility-squeeze strategy that triggers entries when Bollinger Band width drops below Keltner Channel width and 1-hour RSI diverges from price, exiting on 15-minute Donchian Channel breakout."
1189,1,True,Requires funding rates and open interest,"Trade long positions when perpetual futures funding rates reach extreme negative levels combined with a sharp drop in open interest, signaling potential short squeeze reversions, with exits triggered by funding rate normalization or a fixed percentage gain threshold."
1190,1,True,Requires liquidation data not in OHLCV,"Exploit post-liquidation reversals by entering long when short liquidations spike 3x above 30-day average with simultaneous RSI divergence, exiting at 1.5x the liquidation candle's range."
1191,9,False,"Pure OHLCV, clear entry/exit with stop","A volatility compression strategy that enters when Bollinger Band width reaches a 20-day low and RSI is below 30, exiting when price crosses the upper band with a 2x ATR stop-loss."
1192,8,False,"Good volatility/volume combo, clear rules","Trade volatility contractions by entering when Bollinger Bandwidth reaches a 20-day low paired with surging volume exceeding its 50-day average, exiting on price closing beyond 1.5 standard deviations of a 10-day rolling volatility band."
1193,1,True,Requires order book and liquidation data,"Trade volatility contractions during high liquidation risk periods by combining Bollinger Band width thresholds with order book imbalance signals, entering on breakout direction confirmed by liquidation clustering estimates."
1194,1,True,Requires funding rates not in OHLCV,"Exploit liquidation cascades by entering short positions when price breaches a volatility-adjusted Bollinger Band threshold and funding rates spike above historical percentile, exiting on volume-weighted RSI divergence."
1195,10,False,"Pure OHLCV indicators, clear entry/exit rules.","A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks out with a 2x ATR move, combined with a confirming RSI divergence."
1196,10,False,"Uses only price/volume, clear logic, good fit.","A strategy that combines Bollinger Band width contraction (10-day below 5th percentile) with a volume surge (>2x 20-day average) to trigger breakouts, exiting at 1.5x ATR targets or reversion past the 20-period SMA."
1197,8,False,"Uses OHLCV indicators, anchored VWAP is fine.","Exploit volatility contractions using a Bollinger Bandwidth percentile rank below 20 combined with a surge in Chaikin Money Flow, entering on confirmed breakout above/below anchored VWAP."
1198,1,True,Requires orderbook/liquidity pool data.,"Trade breakouts when price approaches liquidation clusters identified via orderbook heatmaps, entering on a surge in volume exceeding 2x the 20-day average and exiting at the next significant liquidity pool."
1199,10,False,"Uses only price/volume, clear rules.","A volatility compression strategy that enters when Bollinger Band width reaches a 20-day low and exits when price crosses the upper or lower band, with additional confirmation from a spike in volume exceeding the 50-day average."
1200,10,False,"Pure OHLCV, clear entry/exit conditions.","Enter long positions when a 3-standard-deviation downside Bollinger Band breach coincides with a 15-minute volume surge exceeding 200% of the 20-period average, exiting upon price retracement to the 20-period SMA or RSI reaching 60."
1201,10,False,"Uses only price/volume indicators, clear logic.","Combine the Vortex Indicator (VI) with Keltner Channels to trade breakouts: enter long when VI+ crosses above VI- while price closes above the upper Keltner Band, and short when VI- crosses above VI+ with price below the lower band, using a trailing stop based on channel width."
1202,10,False,"All indicators from OHLCV, clear rules.","Combine Vortex Indicator trend confirmation with KST momentum oscillator crossovers, entering trades only when accompanied by a volume surge exceeding 20-day average, and exiting positions when price touches Bollinger Band extremes."
1203,1,True,Requires futures volume/delta divergence data.,"Trade breakouts when price approaches liquidation levels clustered near Bollinger Band extremes, confirmed by a surge in delta divergence between spot and futures volume."
1204,10,False,"Pure OHLCV indicators, clear entry/exit.","A strategy combining the 3-day Rate of Change exceeding 2 standard deviations with a 50% surge in volume relative to its 20-day average, exiting when the 1-day ROC crosses below zero."
1205,10,False,"Uses only price/volume, clear logic.","A volatility squeeze strategy that enters when Bollinger Bands contract to their narrowest point in 30 days and RSI is below 40, with exits triggered by a breakout beyond the upper or lower band."
1206,10,False,"Pure OHLCV indicators, clear entry/exit.","A volatility squeeze strategy that enters when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks above/below the bands, filtered by a 5-period RSI confirming overbought/oversold conditions."
1207,10,False,"All indicators from OHLCV, clear rules.","Trade breakouts when the Vortex Indicator crossover aligns with increasing on-balance volume, entering long/short only if ADX exceeds 30 and exiting on a 2:1 risk-reward ratio or trailing stop-loss."
1208,8,False,"Uses OHLCV, volume skewness is vague but okay.","A strategy combining Bollinger Bandwidth contraction to 6-month lows with a surge in volume skewness, entering on the breakout and exiting at opposing band touch or 2x ATR stop."
1209,10,False,"Pure OHLCV indicators, clear entry/exit.","A volatility squeeze strategy that combines Bollinger Bands and Keltner Channels, entering trades when price breaks out of the squeeze with above-average volume and exiting when RSI crosses 70 (overbought) or 30 (oversold)."
1210,10,False,"Uses only price/volume, clear logic.","Volatility squeeze breakout strategy combining Bollinger Bands and Keltner Channels, entering when BB exits KC envelope with confirming ADX >30, exiting on re-cross or fixed ATR target."
1211,8,False,"Heikin-Ashi/TICK divergence uses OHLCV, okay.","Trade breakouts when the 15-minute Heikin-Ashi closes beyond Bollinger Bands (2.5σ) while TICK divergence confirms momentum, with stops set at prior fractal low/high."
1212,10,False,Uses only price/volume indicators.,"Volatility-based strategy triggering entries when price breaks Keltner Channels during periods of low VWAP deviation, exiting on reconvergence to VWAP."
1213,10,False,"Pure OHLCV indicators, clear entry/exit.","Trade breakouts when the Chande Momentum Oscillator crosses above/below its signal line during a volatility contraction (Bollinger Band Width < 0.5*ATR), with exits on opposing momentum cross or 2x ATR trailing stop."
1214,10,False,"Uses only price/volume, clear logic.","Trade volatility contractions using a Bollinger Bandwidth percentile below 10 combined with a volume oscillator spike above 2 standard deviations, entering on breakout direction with stop-loss at prior swing extreme."
1215,10,False,"Pure OHLCV indicators, clear entry/exit.","A volatility squeeze strategy that enters trades when Bollinger Bands contract to their narrowest point in 30 days and exits when price breaks above/below the bands, filtered by a 14-period RSI confirming overbought/oversold conditions."
1216,10,False,"Uses only price/volume, clear rules.","A volatility squeeze breakout strategy that triggers long/short entries when Bollinger Bands contract below a 20-period historical volatility threshold and price closes outside the bands, with exits based on a trailing ATR stop."
1217,1,True,Requires funding rates and open interest data.,"A strategy that triggers long entries when price breaks above the 20-period Bollinger Band during a spike in negative funding rates, targeting clustered liquidation levels identified by high open interest zones, with exits on volume-driven volatility contraction below ATR threshold."
1218,10,False,"Pure OHLCV indicators, clear entry/exit.","A volatility breakout strategy that triggers long/short entries when price crosses a dynamically adjusted Bollinger Band (2.5x ATR width) while volume exceeds its 20-period moving average by 50%, with exits based on RSI crossing 30/70 levels."
1219,10,False,"Uses only price/volume, clear logic.","Enter long positions when the 4-hour Bollinger Bandwidth reaches a 10-day low and volume surges above its 20-period MA, exiting on a close outside the Keltner Channel bounds."
1220,9,False,"Pure OHLCV indicators, clear entry/exit rules.","A strategy combining Bollinger Band width contraction to a 20-day low with a 50% volume surge for entry, exiting when band width expands above its 10-day average."
1221,2,True,Requires liquidation cluster data (external feed).,"Trade breakouts when price approaches high liquidation clusters in futures markets combined with a volatility contraction pattern, entering on a confirmed break of Bollinger Bands width threshold."
